time,temperature_c,co2_ppm
2022-10-01,16.304554,415.74
2022-11-01,11.319562,417.47
2022-12-01,9.505085,418.99
2023-01-01,11.093047,419.47
2023-02-01,9.578727,420.31
2023-03-01,10.586877,420.99
2023-04-01,13.269957,423.31
2023-05-01,14.98155,424.0
2023-06-01,16.34559,423.68
2023-07-01,18.247608,421.83
2023-08-01,20.030373,419.68
2023-09-01,18.493042,418.51
2023-10-01,18.080128,418.82
2023-11-01,14.420425,420.46
2023-12-01,12.124967,421.86
2024-01-01,11.744232,422.8
2024-02-01,11.83426,424.55
2024-03-01,12.808742,425.38
2024-04-01,13.98479,426.51
2024-05-01,15.804227,426.9
2024-06-01,17.557589,426.91
2024-07-01,19.802752,425.55
2024-08-01,18.78423,422.99
2024-09-01,18.773497,422.03
2024-10-01,18.939024,422.38
2024-11-01,13.1336155,423.85
2024-12-01,12.162506,425.4
